date,fuel,nat_avg,nat_min,nat_max,n_stations
2020-01-06,diesel,1.4892,,,
2020-01-06,benzina,1.5901,,,
2020-01-06,gpl,0.6318,,,
2020-01-13,diesel,1.4934,,,
2020-01-13,benzina,1.5938,,,
2020-01-13,gpl,0.6419,,,
2020-01-20,diesel,1.4886,,,
2020-01-20,benzina,1.5871,,,
2020-01-20,gpl,0.6439,,,
2020-01-27,diesel,1.4823,,,
2020-01-27,benzina,1.5871,,,
2020-01-27,gpl,0.6440,,,
2020-02-03,diesel,1.4690,,,
2020-02-03,benzina,1.5705,,,
2020-02-03,gpl,0.6436,,,
2020-02-10,diesel,1.4507,,,
2020-02-10,benzina,1.5547,,,
2020-02-10,gpl,0.6359,,,
2020-02-17,diesel,1.4414,,,
2020-02-17,benzina,1.5471,,,
2020-02-17,gpl,0.6338,,,
2020-02-24,diesel,1.4394,,,
2020-02-24,benzina,1.5455,,,
2020-02-24,gpl,0.6310,,,
2020-03-02,diesel,1.4322,,,
2020-03-02,benzina,1.5402,,,
2020-03-02,gpl,0.6279,,,
2020-03-09,diesel,1.4142,,,
2020-03-09,benzina,1.5223,,,
2020-03-09,gpl,0.6211,,,
2020-03-16,diesel,1.3890,,,
2020-03-16,benzina,1.4966,,,
2020-03-16,gpl,0.6166,,,
2020-03-23,diesel,1.3685,,,
2020-03-23,benzina,1.4775,,,
2020-03-23,gpl,0.6156,,,
2020-03-30,diesel,1.3478,,,
2020-03-30,benzina,1.4565,,,
2020-03-30,gpl,0.6159,,,
2020-04-06,diesel,1.3280,,,
2020-04-06,benzina,1.4368,,,
2020-04-06,gpl,0.6073,,,
2020-04-20,diesel,1.3064,,,
2020-04-20,benzina,1.4113,,,
2020-04-20,gpl,0.6012,,,
2020-04-27,diesel,1.2871,,,
2020-04-27,benzina,1.3916,,,
2020-04-27,gpl,0.5990,,,
2020-05-04,diesel,1.2671,,,
2020-05-04,benzina,1.3743,,,
2020-05-04,gpl,0.5977,,,
2020-05-11,diesel,1.2528,,,
2020-05-11,benzina,1.3620,,,
